x,depth,litho,contacts
5.0,1.0,0.0,
50.0,1.0,0.0,
120.0,1.0,0.0,
180.0,1.0,0.0,
220.0,1.0,0.0,
5.0,2.0,0.0,
50.0,2.0,0.0,
120.0,2.0,0.0,
180.0,2.0,0.0,
220.0,2.0,0.0,
5.0,3.0,0.0,
50.0,3.0,0.0,
120.0,3.0,0.0,
180.0,3.0,0.0,
220.0,3.0,0.0,
5.0,4.0,0.0,
50.0,4.0,0.0,
120.0,4.0,0.0,
180.0,4.0,0.0,
220.0,4.0,0.0,
5.0,5.0,0.0,
49.0,5.0,0.0,
120.0,5.0,0.0,
180.0,5.0,0.0,
219.0,5.0,0.0,
5.0,6.0,0.0,
49.0,6.0,0.0,
119.0,6.0,0.0,
180.0,6.0,0.0,
219.0,6.0,0.0,
5.0,7.0,0.0,
49.0,7.0,0.0,
119.0,7.0,0.0,
180.0,7.0,0.0,
219.0,7.0,0.0,
5.0,8.0,0.0,
49.0,8.0,0.0,
119.0,8.0,0.0,
180.0,8.0,0.0,
219.0,8.0,0.0,
5.0,9.0,0.0,
48.0,9.0,0.0,
119.0,9.0,0.0,
180.0,9.0,0.0,
218.0,9.0,0.0,
5.0,10.0,0.0,
48.0,10.0,0.0,
119.0,10.0,0.0,
180.0,10.0,0.0,
218.0,10.0,0.0,
5.0,11.0,0.0,
48.0,11.0,0.0,
118.0,11.0,0.0,
180.0,11.0,0.0,
218.0,11.0,0.0,
5.0,12.0,0.0,
48.0,12.0,0.0,
118.0,12.0,0.0,
180.0,12.0,0.0,
218.0,12.0,0.0,
5.0,13.0,0.0,
47.0,13.0,0.0,
118.0,13.0,0.0,
180.0,13.0,0.0,
217.0,13.0,0.0,
5.0,14.0,0.0,
47.0,14.0,0.0,
118.0,14.0,0.0,
180.0,14.0,0.0,
217.0,14.0,0.0,
5.0,15.0,0.0,
47.0,15.0,0.0,
118.0,15.0,0.0,
180.0,15.0,0.0,
217.0,15.0,0.0,
5.0,16.0,0.0,
47.0,16.0,0.0,
117.0,16.0,0.0,
180.0,16.0,0.0,
217.0,16.0,0.0,
5.0,17.0,0.0,
46.0,17.0,0.0,
117.0,17.0,0.0,
180.0,17.0,0.0,
216.0,17.0,0.0,
5.0,18.0,0.0,
46.0,18.0,0.0,
117.0,18.0,0.0,
180.0,18.0,0.0,
216.0,18.0,0.0,
5.0,19.0,0.0,
46.0,19.0,0.0,
117.0,19.0,0.0,
180.0,19.0,0.0,
215.0,19.0,0.0,1.0
216.0,19.0,0.0,
5.0,20.0,0.0,
46.0,20.0,0.0,
117.0,20.0,0.0,
180.0,20.0,0.0,
216.0,20.0,0.0,
5.0,21.0,0.0,
45.0,21.0,0.0,
116.0,21.0,0.0,
180.0,21.0,0.0,
215.0,21.0,1.0,
5.0,22.0,0.0,
45.0,22.0,0.0,
116.0,22.0,0.0,
180.0,22.0,0.0,
215.0,22.0,1.0,
5.0,23.0,0.0,
45.0,23.0,0.0,
116.0,23.0,0.0,
180.0,23.0,0.0,
215.0,23.0,1.0,
5.0,24.0,0.0,
45.0,24.0,0.0,
116.0,24.0,0.0,
180.0,24.0,0.0,
215.0,24.0,1.0,
5.0,25.0,0.0,
44.0,25.0,0.0,
116.0,25.0,0.0,
180.0,25.0,0.0,
214.0,25.0,1.0,
5.0,26.0,0.0,
44.0,26.0,0.0,
115.0,26.0,0.0,
179.0,26.0,0.0,
214.0,26.0,1.0,
5.0,27.0,0.0,
44.0,27.0,0.0,
115.0,27.0,0.0,
